,LoanStatus,Source,ModifiedCreditScore,ModifiedBankruptcyScore,EmploymentStatus,EmployedMonths,TotalMonthlyIncome,PrimeMonthlyLiability,PrimeMonthlyRent,TotalMonthlyDebtBeforeLoan,VehicleYear,VehicleMake,VehicleMileage,isNewVehicle,TotalVehicleValue,AmountRequested,DownPayment,Loanterm,OccupancyStatus,OccupancyDuration,EstimatedMonthlyPayment,NumberOfOpenRevolvingAccounts,LTV,RequestType,DTI,MemberIndicator,CoApplicantIndicator
49,Approved,GATEWAY,720,317,Others,83,10200.0,1311.61,300.0,1911.61,4,CHRYSLER,25.0,Y,33255.0,29317.0,5000.0,84.0,RENT,47,394.43,11.0,0.8815,INDIRECT,0.18741,N,Y
50,Declined,GATEWAY,583,173,Retired,180,4900.0,3402.0,0.0,3402.0,10,OTHERS,116770.0,N,19250.0,14772.0,5000.0,72.0,OWN,180,245.36,0.0,0.7673,INDIRECT,0.69429,N,N
51,Declined,GATEWAY,613,207,Employed,78,2500.0,503.5,630.0,1133.5,4,JEEP,32066.0,N,24225.0,26403.0,0.0,72.0,RENT,109,474.74,7.0,1.0899,INDIRECT,0.4534,N,N
52,Declined,GATEWAY,647,295,Employed,12,1850.0,533.53,0.0,533.53,7,KIA,49085.0,N,8500.0,9200.0,700.0,72.0,OTHER,48,127.78,5.0,1.0823,INDIRECT,0.28839,N,N
53,Declined,LENDER,564,172,Employed,72,4566.67,1332.77,500.0,1832.77,2,MAZDA,18000.0,N,18675.0,24000.0,0.0,81.0,LIVEWITHPARENTS,24,503.22,3.0,1.2851,REFINANCE,0.40134,N,N
54,Approved,LENDER,847,356,Employed,96,11416.67,4183.76,0.0,4183.76,7,FORD,46273.0,N,29400.0,17332.6,0.0,48.0,BUYING,60,376.3,10.0,0.5895,TITLE LOAN,0.36646,Y,Y
55,Declined,LENDER,627,305,Employed,96,1646.67,242.19,420.0,662.19,4,UNDECIDED,0.0,Y,20902.6956131264,12000.0,0.0,60.0,RENT,72,249.16,1.0,0.9986677530706455,DEALER PURCHASE,0.40214,N,N
56,Approved,GATEWAY,593,331,Employed,60,3380.0,236.0,300.0,836.0,8,HYUNDAI,86490.0,N,14750.0,14786.0,2500.0,72.0,LIVEWITHPARENTS,24,292.64,1.0,1.0024,CAR SALE,0.24734,N,Y
57,Approved,LENDER,677,209,Employed,4,6828.4,1249.13,0.0,1249.13,3,GMC,4447.0,Y,34175.0,35091.95,0.0,75.0,BUYING,132,535.24,14.0,1.0268,DEALER PURCHASE,0.18293,Y,Y
58,Approved,GATEWAY,685,212,Employed,240,4333.0,1280.0,0.0,1280.0,1,MAZDA,110.0,Y,28490.0,34933.0,1200.0,75.0,BUYING,15,541.36,1.0,1.2261,INDIRECT,0.29541,N,N
59,Approved,GATEWAY,673,42,Employed,48,8000.0,2379.0,300.0,2679.0,3,MAZDA,5.0,Y,32180.0,38419.0,1000.0,72.0,OTHER,16,596.31,18.0,1.1938,INDIRECT,0.33488,N,N
60,Declined,LENDER,518,154,Employed,240,1977.0,356.0,300.0,656.0,12,JEEP,84000.0,N,13150.0,3000.0,0.0,24.0,RENT,24,248.5,0.0,0.2281,TITLE LOAN,0.32059,Y,N
61,Declined,GATEWAY,583,258,Employed,28,3750.0,1728.98,300.0,2028.98,14,INFINITI,81716.0,N,10750.0,6113.0,500.0,24.0,LIVEWITHPARENTS,48,254.71,3.0,0.5686,INDIRECT,0.54106,N,N
62,Declined,LENDER,538,180,Employed,100,4500.0,177.0,0.0,177.0,4,UNDECIDED,0.0,N,20902.6956131264,13000.0,0.0,48.0,LIVEWITHPARENTS,144,362.06,1.0,0.9986677530706455,DEALER PURCHASE,0.06156,Y,N
63,Declined,GATEWAY,568,233,Employed,33,2400.0,329.0,300.0,629.0,6,MAZDA,48721.0,N,9525.0,8533.0,500.0,72.0,OTHER,36,188.65,2.0,0.8958,INDIRECT,0.26208,N,N
64,Approved,GATEWAY,713,274,Employed,180,18000.0,4242.0,0.0,4242.0,1,HONDA,3.0,Y,30425.0,29187.0,0.0,60.0,BUYING,12,559.43,21.0,0.9593,INDIRECT,0.23567,N,Y
65,Declined,GATEWAY,654,315,Employed,60,7833.33,642.18,300.0,942.18,3,HYUNDAI,15.0,Y,25425.0,27644.0,1000.0,84.0,LIVEWITHPARENTS,76,329.1,2.0,1.0872,INDIRECT,0.12028,N,N
66,Declined,LENDER,675,294,Employed,37,1906.67,0.0,700.0,700.0,4,NISSAN,15.0,Y,19650.0,22598.0,0.0,72.0,RENT,264,350.06,0.0,1.15,DEALER PURCHASE,0.36713,Y,N
67,Approved,GATEWAY,670,285,Employed,36,2875.0,561.0,0.0,561.0,4,OTHERS,16182.0,N,23950.0,19900.0,0.0,72.0,BUYING,120,317.86,2.0,0.8308,INDIRECT,0.19513,N,N
68,Approved,GATEWAY,701,293,Employed,72,2059.17,389.0,300.0,689.0,4,NISSAN,25.0,Y,18580.0,20140.0,800.0,72.0,LIVEWITHPARENTS,84,305.23,16.0,1.0839,INDIRECT,0.3346,N,N
69,Declined,GATEWAY,562,382,Employed,6,1800.0,248.0,300.0,548.0,13,ACURA,94739.0,N,10275.0,7837.0,4000.0,24.0,LIVEWITHPARENTS,36,326.55,1.0,0.7627,INDIRECT,0.30444,N,N
70,Declined,GATEWAY,709,274,Employed,18,10333.33,3978.0,0.0,3978.0,6,VOLKSWAGEN,36434.0,N,19625.0,21906.0,450.0,72.0,BUYING,108,349.9,6.0,1.1162,INDIRECT,0.38497,N,Y
71,Declined,CONSUMER,666,420,Employed,2,3900.0,912.15,1100.0,3112.15,3,CHEVROLET,11.0,N,19000.0,17800.0,1200.0,72.0,RENT,37,247.23,2.0,0.9368,DEALER PURCHASE,0.79799,Y,Y
72,Declined,GATEWAY,0,312,Employed,36,1503.0,0.0,0.0,0.0,10,OTHERS,127434.0,N,11450.0,6350.0,3500.0,36.0,OWN,564,196.61,1.0,0.5545,INDIRECT,0.0,N,N
73,Declined,GATEWAY,633,287,Employed,24,9026.33,576.0,1200.0,1776.0,3,TOYOTA,31889.0,N,14325.0,15379.0,1000.0,72.0,OTHER,24,213.6,3.0,1.0735,CAR SALE,0.19676,N,N
74,Declined,GATEWAY,645,297,Employed,48,5583.33,152.0,0.0,152.0,9,FORD,97395.0,N,16525.0,18176.0,0.0,72.0,OWN,24,252.45,11.0,1.0999,INDIRECT,0.02722,N,N
75,Approved,GATEWAY,643,398,Employed,84,2881.67,25.0,850.0,875.0,2,KIA,25.0,N,20465.0,19773.0,1000.0,75.0,RENT,48,334.49,1.0,0.9661,INDIRECT,0.30364,N,N
76,Approved,GATEWAY,813,310,Employed,132,6550.0,2181.0,0.0,2181.0,4,FORD,100.0,Y,50010.0,46780.0,0.0,84.0,BUYING,96,625.15,8.0,0.9354,INDIRECT,0.33298,N,Y
77,Approved,GATEWAY,751,323,Employed,145,3333.33,588.0,0.0,588.0,5,FORD,5517.0,N,28675.0,27796.0,1000.0,84.0,OWN,507,421.55,8.0,0.9693,INDIRECT,0.1764,N,N
78,Approved,GATEWAY,791,308,Employed,132,9062.5,3375.0,0.0,3675.0,1,HYUNDAI,12.0,Y,26325.0,30395.0,3534.0,84.0,BUYING,39,442.29,11.0,1.1546,INDIRECT,0.40552,Y,Y
79,Declined,GATEWAY,676,360,Others,9,2400.0,599.77,300.0,899.77,3,NISSAN,9648.0,N,13000.0,14095.0,0.0,72.0,LIVEWITHPARENTS,11,195.77,1.0,1.0842,INDIRECT,0.3749,N,N
80,Approved,GATEWAY,671,254,Employed,36,2530.67,773.0,300.0,1073.0,2,NISSAN,25.0,Y,24805.0,29742.0,0.0,84.0,LIVEWITHPARENTS,84,407.56,6.0,1.199,INDIRECT,0.424,Y,Y
81,Approved,GATEWAY,649,292,Employed,132,4166.67,54.0,350.0,404.0,3,HYUNDAI,13.0,Y,23075.0,30353.0,1346.0,75.0,RENT,14,413.26,2.0,1.3154,INDIRECT,0.09696,N,N
82,Approved,GATEWAY,626,246,Employed,17,3886.0,266.0,400.0,666.0,3,MAZDA,12.0,Y,25865.0,30788.0,1000.0,75.0,RENT,8,456.56,3.0,1.1903,INDIRECT,0.17138,N,N
83,Approved,GATEWAY,710,236,Employed,144,3666.67,1011.0,0.0,1011.0,3,JEEP,215.0,Y,30990.0,31650.0,3000.0,84.0,BUYING,60,436.69,3.0,1.0212,INDIRECT,0.27573,N,N
84,Declined,GATEWAY,637,300,Employed,26,4727.5,135.0,300.0,435.0,3,HYUNDAI,15.0,Y,20175.0,25881.0,150.0,84.0,LIVEWITHPARENTS,48,308.11,6.0,1.2828,CAR SALE,0.09201,N,Y
85,Declined,GATEWAY,0,293,Employed,60,3520.0,0.0,650.0,650.0,3,TOYOTA,32521.0,N,16995.0,18393.0,1000.0,72.0,RENT,62,255.46,0.0,1.0822,INDIRECT,0.18466,N,N
86,Declined,GATEWAY,658,314,Others,24,10800.0,1334.0,1650.0,2984.0,2,FORD,0.0,Y,77640.0,76076.0,2500.0,72.0,RENT,12,1300.59,0.0,0.9798,INDIRECT,0.2763,N,N
87,Declined,GATEWAY,558,194,Employed,21,5912.0,732.31,625.0,1982.31,2,HYUNDAI,10.0,Y,19240.0,20745.0,20.0,72.0,RENT,8,288.13,2.0,1.0782,CAR SALE,0.3353,N,Y
88,Declined,GATEWAY,0,324,Employed,25,2465.0,0.0,150.0,150.0,2,TOYOTA,17.0,Y,20380.0,18302.0,4000.0,72.0,RENT,204,254.2,0.0,0.898,INDIRECT,0.06085,N,N
89,Approved,GATEWAY,675,372,Employed,264,3083.33,125.0,400.0,525.0,2,HYUNDAI,5636.0,Y,17675.0,20160.0,0.0,84.0,RENT,24,333.62,10.0,1.1405,INDIRECT,0.17027,N,N
90,Declined,GATEWAY,716,313,Retired,120,3375.0,400.0,0.0,400.0,10,NISSAN,96781.0,N,7625.0,7296.0,1500.0,60.0,LIVEWITHPARENTS,24,121.6,6.0,0.9568,INDIRECT,0.11852,N,Y
91,Approved,LENDER,667,257,Employed,49,2080.0,195.22,400.0,595.22,3,TOYOTA,39627.0,N,16025.0,15000.0,0.0,54.0,RENT,84,349.13,9.0,0.936,DEALER PURCHASE,0.28616,N,N
92,Approved,GATEWAY,693,408,Employed,1,3434.67,870.0,525.0,1395.0,3,TOYOTA,4.0,Y,20538.0,16895.0,2500.0,72.0,RENT,12,322.53,4.0,0.8226,INDIRECT,0.40615,N,Y
93,Approved,GATEWAY,720,276,Employed,17,2605.0,644.0,300.0,944.0,5,HONDA,22760.0,N,18050.0,19050.0,0.0,72.0,LIVEWITHPARENTS,11,304.28,4.0,1.0554,INDIRECT,0.36238,N,N
94,Approved,CONSUMER,806,304,Employed,144,8200.0,2833.0,0.0,2833.0,0,UNDECIDED,0.0,N,20902.6956131264,6000.0,1500.0,66.0,BUYING,6,200.86,4.0,0.9986677530706455,DEALER PURCHASE,0.34549,N,Y
95,Approved,LENDER,833,398,Retired,0,8539.26,844.0,0.0,844.0,5,JEEP,28000.0,N,34425.0,26355.62,0.0,60.0,OWN,456,483.09,12.0,0.7655,DEALER PURCHASE,0.09884,N,Y
96,Approved,GATEWAY,672,330,Employed,84,13290.0,4347.0,0.0,4722.0,7,FORD,50956.0,N,11350.0,10346.0,1000.0,72.0,BUYING,24,165.25,7.0,0.9115,INDIRECT,0.3553,N,Y
97,Approved,GATEWAY,684,285,Employed,25,2666.67,325.0,300.0,625.0,4,CHEVROLET,1900.0,Y,39760.0,31397.0,0.0,75.0,LIVEWITHPARENTS,252,372.05,2.0,0.7896,INDIRECT,0.23437,Y,N
98,Approved,GATEWAY,845,456,Retired,168,6500.0,1639.0,0.0,1639.0,3,FORD,37813.0,N,28925.0,23057.0,2000.0,84.0,BUYING,384,359.77,12.0,0.7971,INDIRECT,0.25215,N,Y
99,Declined,GATEWAY,633,162,Employed,181,2000.0,310.0,300.0,610.0,12,HONDA,135495.0,N,9450.0,9688.0,0.0,48.0,OTHER,61,201.84,13.0,1.0251,INDIRECT,0.305,N,N
100,Declined,GATEWAY,0,444,Employed,8,7500.0,34.0,300.0,334.0,3,OTHERS,18098.0,N,23936.0,17623.0,8000.0,72.0,RENT,12,415.2,2.0,0.7362,INDIRECT,0.04453,N,Y
101,Declined,GATEWAY,569,187,Employed,3,2460.0,647.0,450.0,1097.0,2,CHEVROLET,54.0,Y,20400.0,23412.0,0.0,75.0,RENT,83,312.16,4.0,1.1476,INDIRECT,0.44593,N,N
102,Approved,GATEWAY,696,270,Employed,96,4100.0,1164.0,0.0,1164.0,6,RAM,33881.0,N,22700.0,25099.0,0.0,75.0,LIVEWITHPARENTS,24,394.75,7.0,1.1056,INDIRECT,0.2839,N,N
103,Declined,GATEWAY,607,36,Employed,96,2916.67,1165.0,300.0,1465.0,6,TOYOTA,27247.0,N,23250.0,23041.0,5871.0,72.0,LIVEWITHPARENTS,180,447.62,14.0,0.991,INDIRECT,0.50229,N,N
104,Declined,LENDER,0,293,Employed,12,1820.0,26.0,300.0,326.0,4,UNDECIDED,0.0,Y,20902.6956131264,16000.0,0.0,75.0,LIVEWITHPARENTS,240,328.62,0.0,0.9986677530706455,DEALER PURCHASE,0.17912,N,N
105,Declined,LENDER,533,244,Employed,164,2274.13,0.0,780.0,780.0,0,UNDECIDED,0.0,N,20902.6956131264,15000.0,0.0,66.0,RENT,12,346.54,0.0,0.9986677530706455,DEALER PURCHASE,0.34299,Y,N
106,Declined,GATEWAY,725,316,Employed,168,8166.67,2227.0,0.0,2227.0,3,RAM,6406.0,N,45925.0,44288.0,500.0,84.0,OWN,108,527.24,2.0,0.9643,INDIRECT,0.27269,N,Y
107,Approved,GATEWAY,655,212,Employed,19,11252.0,2013.0,0.0,2013.0,5,MAZDA,33184.0,N,20000.0,20290.0,0.0,75.0,OTHER,8,348.26,8.0,1.0145,INDIRECT,0.1789,N,Y
108,Approved,GATEWAY,646,442,Employed,166,6320.0,540.0,1050.0,1890.0,6,KIA,66558.0,N,8700.0,10054.0,1000.0,72.0,RENT,90,207.15,4.0,1.1556,INDIRECT,0.29905,N,Y
109,Approved,GATEWAY,765,337,Employed,147,4100.0,1644.0,0.0,1644.0,2,MAZDA,17.0,Y,28290.0,26156.0,0.0,72.0,BUYING,64,437.47,10.0,0.9245,INDIRECT,0.40098,N,N
110,Declined,GATEWAY,664,303,Employed,252,2666.67,503.0,300.0,803.0,5,NISSAN,23174.0,N,17400.0,17637.0,2500.0,66.0,LIVEWITHPARENTS,48,267.23,3.0,1.0136,CAR SALE,0.30112,N,N
111,Declined,GATEWAY,630,287,Others,193,2500.0,133.0,300.0,433.0,6,HYUNDAI,36141.0,Y,20902.6956131264,15708.0,9000.0,72.0,LIVEWITHPARENTS,96,218.17,1.0,0.9986677530706455,INDIRECT,0.1732,N,N
112,Approved,GATEWAY,692,212,Others,8,2400.0,163.0,440.0,603.0,3,HONDA,3864.0,N,19825.0,22126.0,500.0,75.0,RENT,5,330.66,4.0,1.116,INDIRECT,0.25125,N,N
113,Declined,GATEWAY,772,406,Retired,0,6015.0,2952.0,0.0,2952.0,3,MAZDA,33782.0,N,18925.0,20149.0,0.0,72.0,BUYING,241,279.85,16.0,1.0646,INDIRECT,0.49077,N,Y
114,Approved,LENDER,765,391,Employed,49,2860.0,1059.8,0.0,1059.8,7,HONDA,62392.0,N,24050.0,24474.0,0.0,84.0,BUYING,132,336.85,4.0,1.0176,DEALER PURCHASE,0.37056,Y,N
115,Approved,GATEWAY,667,168,Employed,64,7500.0,2072.0,0.0,2072.0,1,MAZDA,41.0,Y,23815.0,23183.0,0.0,75.0,OTHER,62,392.87,7.0,0.9734,INDIRECT,0.27627,N,N
116,Declined,LENDER,731,484,Employed,36,1144.0,35.0,300.0,335.0,4,UNDECIDED,0.0,N,20902.6956131264,15000.0,0.0,66.0,LIVEWITHPARENTS,48,259.3,1.0,0.9986677530706455,PRIVATE PARTY,0.29283,N,N
117,Approved,LENDER,718,361,Employed,12,2500.0,331.0,300.0,631.0,4,TOYOTA,5000.0,Y,24700.0,12180.67,0.0,72.0,RENT,96,185.26,6.0,0.4931,REFINANCE-PROMO,0.2524,Y,N
