,Location,Vehicle_Year,Miles_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Company,Fuel_Consumption(mpg),Engine(CC),Power(bhp),Price
44,Charlotte,4,32313,Diesel,Manual,First,5.0,TOYOTA,34,1798.0,138.03,20220
45,Austin,12,36044,Gasoline,Automatic,Second,5.0,HYUNDAI,35,1991.0,112.2,8500
46,Boston,8,43935,Diesel,Automatic,First,7.0,TOYOTA,26,2694.0,163.7,21900
47,Houston,6,46605,Gasoline,Automatic,First,5.0,HYUNDAI,57,1120.0,71.0,7700
48,Houston,8,47102,Gasoline,Automatic,Second,6.0,TESLA,39,2498.0,105.0,11000
49,Orlando,5,8481,Gasoline,Semi-Automatic,First,5.0,AUDI,40,1968.0,174.33,42860
50,Dallas,6,32313,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,8500
51,Atlanta,6,32934,Gasoline,Automatic,First,5.0,GM,42,1248.0,75.0,6600
52,Dallas,7,40795,Gasoline,Automatic,First,5.0,GM,67,1248.0,74.0,7700
53,Chicago,5,33556,CNG,Automatic,Third,5.0,HYUNDAI,44,1197.0,82.0,7200
54,Atlanta,5,24235,CNG,Automatic,First,5.0,VOLKSWAGEN,35,1598.0,103.2,7980
55,Orlando,3,10279,Diesel,Automatic,First,5.0,RENAULT,59,799.0,53.3,6600
56,Atlanta,10,19885,Diesel,Automatic,First,5.0,HYUNDAI,48,1197.0,78.9,4140
57,San_Francisco,10,75694,Gasoline,Semi-Automatic,First,5.0,NISSAN,31,1995.0,147.6,15500
58,San_Francisco,10,24421,Diesel,Automatic,First,5.0,GM,43,998.0,67.1,4500
59,Charlotte,3,13671,Gasoline,Automatic,First,8.0,TOYOTA,32,2393.0,147.8,33000
60,Boston,10,44741,Gasoline,Automatic,First,5.0,FORD,47,1399.0,68.0,5500
61,Dallas,5,36041,Diesel,Continuously_Variable,First,5.0,MERCEDES-BENZ,28,1796.0,186.0,53400
62,Los_Angeles,9,40391,Gasoline,Automatic,Second,5.0,MERCEDES-BENZ,37,2148.0,170.0,20000
63,Chicago,4,110609,Gasoline,Automatic,First,5.0,CHRYSLER,59,1396.0,69.0,5000
64,Houston,8,40804,Gasoline,Continuously_Variable,First,5.0,AUDI,39,1968.0,140.0,27000
65,Charlotte,13,39148,Diesel,Continuously_Variable,Second,5.0,HONDA,39,1497.0,78.0,3700
66,Seattle,1,9550,Gasoline,Manual,First,5.0,MERCEDES-BENZ,0,1950.0,194.0,71340
67,Los_Angeles,4,39148,Gasoline,Automatic,First,7.0,GM,58,1248.0,88.5,16300
68,Charlotte,2,8078,Gasoline,Automatic,First,5.0,HYUNDAI,52,1396.0,88.7,21000
69,Charlotte,12,45362,Diesel,Dual_Clutch,First,5.0,PORSCHE,20,4806.0,500.0,29000
70,Charlotte,5,34630,Gasoline,Automatic,First,7.0,TESLA,36,2179.0,140.0,19300
71,Orlando,8,28074,CNG,Continuously_Variable,First,5.0,HYUNDAI,40,1197.0,78.9,6960
72,Orlando,5,34839,Gasoline,Automatic,First,5.0,NISSAN,46,1461.0,108.5,13840
73,Seattle,4,23178,Diesel,Dual_Clutch,Second,5.0,HONDA,39,1198.0,86.8,12920
74,Dallas,6,34798,Gasoline,Manual,Second,5.0,AUDI,44,1968.0,187.74,59000
75,Houston,12,69044,Gasoline,Automatic,First,5.0,FORD,42,1399.0,0.0,4000
76,Chicago,14,142922,Diesel,Automatic,Third,8.0,TOYOTA,29,1998.0,132.0,9000
77,San_Francisco,8,64626,Gasoline,Automatic,First,7.0,TOYOTA,30,2494.0,102.0,23500
78,San_Francisco,15,54429,Diesel,Automatic,First,5.0,HYUNDAI,0,1086.0,0.0,2600
79,Houston,8,59095,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,7500
80,Los_Angeles,3,43498,Diesel,Automatic,First,5.0,CHRYSLER,41,1193.0,88.7,9000
81,Orlando,4,34142,CNG,Automatic,First,5.0,HONDA,42,1198.0,86.7,9640
82,San_Francisco,8,43707,Gasoline,Automatic,First,5.0,FORD,47,1399.0,68.0,5600
83,Houston,7,61915,Gasoline,Automatic,First,5.0,GM,55,1248.0,73.94,6220
84,Dallas,11,32313,CNG,Automatic,First,5.0,HONDA,42,1497.0,117.3,6500
85,Dallas,9,46605,Gasoline,Dual_Clutch,Second,5.0,BMW,39,1995.0,218.0,27800
86,Los_Angeles,11,59642,CNG,Automatic,First,5.0,HYUNDAI,48,1197.0,78.9,4500
87,Boston,4,9942,CNG,Automatic,First,5.0,HYUNDAI,44,1197.0,82.0,11500
88,San_Francisco,13,45825,CNG,Automatic,First,5.0,HYUNDAI,40,1086.0,0.0,4200
89,Charlotte,4,11775,CNG,Automatic,First,5.0,HONDA,42,1198.0,86.7,10000
90,Dallas,6,66490,Gasoline,Automatic,First,7.0,TOYOTA,31,2982.0,168.5,33000
91,Seattle,2,30055,Gasoline,Continuously_Variable,First,5.0,AUDI,42,1968.0,174.33,79160
92,Dallas,7,35420,Gasoline,Automatic,First,5.0,FORD,53,1498.0,89.84,11000
93,Dallas,6,36041,Gasoline,Automatic,First,7.0,TESLA,36,2179.0,140.0,16200
94,Atlanta,5,18642,Gasoline,Automatic,First,5.0,HONDA,61,1498.0,98.6,7000
95,Atlanta,7,21259,Gasoline,Automatic,First,5.0,VOLKSWAGEN,52,1199.0,73.9,5580
96,Austin,10,43499,Gasoline,Automatic,First,5.0,HYUNDAI,38,1493.0,110.0,6900
97,Boston,4,38527,CNG,Automatic,First,5.0,GM,44,998.0,67.1,8900
98,Dallas,10,38527,CNG,Automatic,First,5.0,VOLKSWAGEN,36,1598.0,103.5,5300
99,Los_Angeles,9,49065,Gasoline,Automatic,Second,5.0,HYUNDAI,54,1396.0,90.0,7600
100,Charlotte,6,18754,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,82.85,9300
101,Los_Angeles,3,20414,CNG,Automatic,First,7.0,OTHERS,47,1198.0,67.0,7900
102,Atlanta,10,18642,Gasoline,Dual_Clutch,First,5.0,AUDI,35,2967.0,241.4,19600
103,Los_Angeles,11,41012,Diesel,Automatic,Second,5.0,HYUNDAI,40,1197.0,80.0,5400
104,Seattle,10,58318,CNG,Automatic,First,5.0,GM,33,796.0,35.0,4820
105,Austin,6,32934,Diesel,Automatic,First,5.0,TOYOTA,42,1197.0,78.9,7800
106,San_Francisco,9,48469,Gasoline,Dual_Clutch,Second,5.0,JAGUAR,35,2993.0,270.9,48000
107,Dallas,8,40391,Gasoline,Automatic,Second,7.0,TESLA,38,2179.0,140.0,11500
108,Atlanta,6,24856,Gasoline,Manual,First,5.0,HYUNDAI,52,1582.0,126.32,10500
109,Charlotte,3,18642,Gasoline,Semi-Automatic,First,7.0,TOYOTA,27,2755.0,171.5,38500
110,Seattle,3,23646,Diesel,Automatic,First,5.0,GM,36,1196.0,73.0,7820
111,Boston,6,15846,Diesel,Automatic,First,4.0,CHRYSLER,60,624.0,37.5,4300
112,Charlotte,5,34852,Gasoline,Manual,First,5.0,BMW,53,1995.0,190.0,41500
113,Dallas,10,44174,Diesel,Automatic,First,5.0,HONDA,32,1799.0,130.0,6700
114,Austin,6,34177,Gasoline,Automatic,First,7.0,TOYOTA,31,2494.0,100.6,22220
115,Boston,6,20320,Gasoline,Semi-Automatic,First,5.0,VOLVO,55,1984.0,150.0,40000
116,Seattle,4,24783,Diesel,Manual,First,5.0,NISSAN,45,1198.0,75.94,13100
117,Charlotte,11,79539,CNG,Manual,First,5.0,BMW,25,2497.0,215.0,14000
118,Charlotte,4,34177,Gasoline,Automatic,First,5.0,GM,57,1248.0,88.5,15000
119,Charlotte,15,63383,Diesel,Automatic,Second,5.0,HYUNDAI,40,1086.0,0.0,1700
120,Los_Angeles,6,33402,Gasoline,Manual,Second,5.0,MERCEDES-BENZ,35,2143.0,107.3,33500
121,Atlanta,2,6369,Gasoline,Automatic,First,5.0,HYUNDAI,52,1582.0,126.2,21900
122,Los_Angeles,9,27263,CNG,Automatic,First,5.0,GM,44,998.0,67.1,4900
123,Seattle,3,20310,Diesel,Manual,First,4.0,CHRYSLER,52,624.0,37.48,6460
124,Atlanta,6,26099,Gasoline,Automatic,First,8.0,TESLA,28,2179.0,120.0,15500
125,Atlanta,11,17618,Diesel,Manual,First,5.0,MERCEDES-BENZ,28,1796.0,178.0,18700
126,Los_Angeles,7,55864,Ethanol,Automatic,First,5.0,GM,63,998.0,58.16,6500
127,Boston,13,29641,CNG,Automatic,Second,5.0,HONDA,25,2354.0,152.0,10500
128,Los_Angeles,5,34177,Gasoline,Continuously_Variable,First,5.0,VOLKSWAGEN,50,1498.0,103.2,14500
129,Orlando,3,27519,Diesel,Automatic,First,5.0,GM,49,1373.0,91.1,14940
130,Houston,4,33556,Gasoline,Semi-Automatic,First,7.0,TESLA,38,2179.0,140.0,26500
131,Seattle,4,18786,Diesel,Automatic,First,5.0,GM,50,1197.0,85.8,11620
132,San_Francisco,6,54994,Diesel,Automatic,First,5.0,GM,57,998.0,67.1,5200
133,Atlanta,3,8309,Diesel,Continuously_Variable,First,2.0,MERCEDES-BENZ,45,2996.0,362.07,108000
134,Orlando,1,7858,Diesel,Semi-Automatic,First,5.0,HYUNDAI,40,1591.0,121.3,23000
135,Chicago,10,58651,Diesel,Automatic,Second,5.0,GM,46,796.0,46.3,3200
136,Seattle,5,19774,Gasoline,Manual,First,5.0,BMW,48,1995.0,143.0,34440
137,Charlotte,5,7457,CNG,Manual,First,5.0,HONDA,45,1199.0,88.7,12000
138,Dallas,8,55042,CNG,Automatic,First,5.0,HONDA,32,1799.0,130.0,7900
139,Orlando,6,27941,Gasoline,Semi-Automatic,First,5.0,MERCEDES-BENZ,45,2143.0,170.0,35900
140,Atlanta,6,27990,Gasoline,Automatic,First,5.0,HONDA,61,1498.0,98.6,7400
141,Orlando,4,21254,Diesel,Automatic,First,5.0,GM,52,1197.0,81.8,10860
142,Orlando,12,50184,Diesel,Automatic,Third,5.0,HYUNDAI,40,1086.0,0.0,3340
143,Seattle,8,56693,Gasoline,Automatic,First,7.0,TOYOTA,27,2982.0,171.0,26980
144,Los_Angeles,6,24110,CNG,Automatic,First,5.0,CHEVROLET,44,1199.0,76.8,5700
145,Chicago,7,51576,Gasoline,Automatic,First,5.0,LEXUS,50,1498.0,103.52,9500
146,Orlando,2,25653,Diesel,Automatic,First,5.0,GM,49,1373.0,91.1,19800
147,Charlotte,7,14292,Diesel,Manual,First,4.0,AUDI,26,2894.0,444.0,74000
148,Charlotte,6,29827,Gasoline,Dual_Clutch,First,5.0,BMW,51,1995.0,190.0,53000
149,Seattle,5,29960,Gasoline,Semi-Automatic,First,5.0,AUDI,40,1968.0,174.33,46640
150,Chicago,4,21749,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,12500
151,Atlanta,10,21921,Diesel,Manual,First,5.0,MERCEDES-BENZ,18,5461.0,362.9,60000
152,Seattle,4,33941,Gasoline,Continuously_Variable,First,5.0,LEXUS,51,1498.0,103.52,19720
153,Los_Angeles,8,85130,Gasoline,Manual,First,5.0,LEXUS,40,1968.0,138.1,17000
154,Orlando,1,8900,Diesel,Automatic,First,5.0,HYUNDAI,50,814.0,55.2,8460
155,Houston,8,40785,Gasoline,Automatic,First,5.0,VOLKSWAGEN,52,1199.0,73.9,7000
156,Atlanta,4,3728,Diesel,Automatic,First,5.0,OTHERS,49,1198.0,67.06,5000
157,Atlanta,7,20680,Diesel,Automatic,First,5.0,HONDA,46,1198.0,86.8,4780
158,Dallas,7,18021,Diesel,Dual_Clutch,First,5.0,MERCEDES-BENZ,35,1595.0,120.7,22500
159,Orlando,5,26615,Gasoline,Automatic,First,5.0,HONDA,61,1498.0,98.6,14220
160,Austin,4,55926,Gasoline,Automatic,First,7.0,TOYOTA,31,2494.0,100.6,21800
161,Austin,3,14917,Diesel,Automatic,First,5.0,GM,48,1197.0,81.8,12400
162,Charlotte,8,20377,Gasoline,Automatic,First,7.0,TESLA,36,2179.0,140.0,15800
163,Orlando,6,91904,Gasoline,Automatic,First,5.0,FORD,53,1498.0,89.84,8840
164,Charlotte,8,81879,Gasoline,Automatic,First,7.0,TOYOTA,31,2982.0,168.5,27000
165,Chicago,7,40391,Gasoline,Manual,First,5.0,VOLKSWAGEN,51,1498.0,108.5,12500
166,Houston,10,41089,Gasoline,Automatic,Second,5.0,FORD,47,1399.0,68.0,4200
167,Charlotte,5,25477,Gasoline,Semi-Automatic,First,5.0,BMW,36,2993.0,258.0,90000
168,Seattle,3,14634,Gasoline,Manual,First,5.0,MERCEDES-BENZ,45,2143.0,167.62,67320
169,Boston,8,27963,CNG,Automatic,Second,5.0,HONDA,46,1198.0,86.8,7300
170,Dallas,7,37284,Diesel,Automatic,First,5.0,HYUNDAI,48,1197.0,78.9,5500
171,Boston,4,27599,Gasoline,Continuously_Variable,First,5.0,MERCEDES-BENZ,42,2143.0,170.0,85000
172,Atlanta,1,621,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,81.86,13000
173,Charlotte,8,38838,Gasoline,Dual_Clutch,Second,5.0,AUDI,42,1968.0,174.33,38000
174,Charlotte,7,13049,Diesel,Continuously_Variable,Second,5.0,VOLKSWAGEN,34,1598.0,103.6,8900
175,Houston,3,5297,Gasoline,Semi-Automatic,Second,5.0,MINI,39,1998.0,112.0,46000
176,Boston,6,18021,Gasoline,Automatic,First,5.0,HYUNDAI,53,1396.0,88.73,16700
177,Charlotte,6,24856,Gasoline,Semi-Automatic,First,5.0,AUDI,42,1968.0,174.33,45900
178,Houston,8,54683,Gasoline,Automatic,First,5.0,CHEVROLET,60,936.0,57.6,3000
179,Orlando,8,33268,Diesel,Manual,First,5.0,LEXUS,32,1798.0,157.75,13780
180,Chicago,14,134222,Gasoline,Automatic,Second,5.0,FORD,42,1399.0,68.0,2900
181,San_Francisco,6,31691,Gasoline,Semi-Automatic,First,5.0,BMW,53,1995.0,190.0,67000
182,Houston,13,73636,Diesel,Automatic,First,5.0,CHEVROLET,30,1598.0,102.5,2500
183,San_Francisco,8,39148,Gasoline,Automatic,First,5.0,VOLKSWAGEN,52,1199.0,73.9,8400
184,Charlotte,5,15535,Gasoline,Automatic,First,8.0,RENAULT,47,1461.0,108.5,13500
185,Boston,6,23229,Gasoline,Semi-Automatic,First,5.0,MERCEDES-BENZ,31,2143.0,201.1,64000
186,Orlando,3,15394,Diesel,Automatic,First,5.0,GM,50,1197.0,83.1,15000
187,Dallas,8,38527,Gasoline,Automatic,First,5.0,HYUNDAI,52,1582.0,126.32,9200
188,Orlando,3,32524,CNG,Automatic,First,5.0,HYUNDAI,47,1086.0,68.05,8080
189,Orlando,4,35258,Gasoline,Automatic,First,7.0,TESLA,36,1997.0,120.0,20620
190,Seattle,2,22427,Gasoline,Manual,First,5.0,RAM,30,2179.0,187.7,111520
191,Chicago,10,74568,Gasoline,Automatic,First,5.0,FORD,47,1399.0,68.0,5200
192,Charlotte,4,20506,Gasoline,Automatic,First,7.0,GM,60,1248.0,88.5,17000
193,Austin,13,37288,CNG,Automatic,First,0.0,HONDA,0,0.0,0.0,5900
194,Atlanta,6,32313,Gasoline,Automatic,First,5.0,HONDA,61,1498.0,98.6,7000
195,Houston,5,27075,Diesel,Automatic,First,5.0,HYUNDAI,48,1197.0,78.9,7100
196,Atlanta,7,31070,Gasoline,Automatic,First,5.0,HONDA,61,1498.0,98.6,6500
197,San_Francisco,12,70218,Gasoline,Automatic,First,5.0,LEXUS,41,1896.0,106.0,9000
198,Dallas,6,55926,Gasoline,Automatic,First,5.0,RENAULT,47,1461.0,83.8,10700
199,Chicago,3,18021,Gasoline,Automatic,Second,7.0,TESLA,41,1493.0,100.0,13000
200,Charlotte,4,12428,Gasoline,Automatic,First,5.0,GM,57,1248.0,88.5,18000
201,Orlando,4,37913,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,81.83,12000
202,Houston,11,54347,Diesel,Automatic,First,5.0,LEXUS,35,1390.0,85.0,5500
203,Los_Angeles,10,43809,Diesel,Automatic,First,5.0,CHRYSLER,37,1193.0,64.1,3000
204,Dallas,5,39834,Gasoline,Dual_Clutch,First,5.0,AUDI,37,1968.0,174.33,39800
205,Charlotte,6,47226,Diesel,Semi-Automatic,First,5.0,LEXUS,35,1798.0,177.5,20000
206,Dallas,6,64626,Gasoline,Automatic,First,5.0,TOYOTA,55,1364.0,67.06,6000
207,Atlanta,10,26099,Diesel,Automatic,First,0.0,GM,38,0.0,0.0,4220
208,Orlando,6,23144,Diesel,Continuously_Variable,First,5.0,MERCEDES-BENZ,35,1595.0,120.7,23920
209,Atlanta,7,27963,Gasoline,Automatic,First,5.0,HONDA,64,1498.0,98.6,6500
210,Houston,8,73224,Gasoline,Automatic,Second,5.0,HYUNDAI,52,1582.0,126.32,9500
211,Charlotte,6,18642,Gasoline,Automatic,First,5.0,RENAULT,48,1461.0,83.8,11900
212,Dallas,5,16813,Diesel,Automatic,Second,5.0,HYUNDAI,36,1591.0,121.3,16300
213,Charlotte,4,5282,Diesel,Continuously_Variable,First,5.0,GM,48,998.0,67.0,8440
214,Atlanta,10,18953,Diesel,Semi-Automatic,First,5.0,MERCEDES-BENZ,28,1796.0,186.0,21000
215,Dallas,8,34798,Gasoline,Manual,First,5.0,AUDI,28,2967.0,246.7,90000
216,Los_Angeles,8,27342,CNG,Automatic,Second,5.0,HYUNDAI,47,1086.0,68.05,5800
217,Charlotte,3,6525,Diesel,Manual,First,5.0,LEXUS,34,1598.0,103.52,17800
218,San_Francisco,3,16156,Diesel,Semi-Automatic,First,5.0,LEXUS,35,1798.0,177.46,52000
219,Seattle,2,15638,Diesel,Automatic,First,5.0,HYUNDAI,40,1197.0,81.86,16440
220,Atlanta,6,39770,Gasoline,Automatic,Second,5.0,HONDA,61,1498.0,98.6,7000
221,Chicago,15,37905,Diesel,Automatic,Second,5.0,GM,44,998.0,67.1,2500
222,San_Francisco,7,66490,Gasoline,Automatic,First,5.0,TESLA,49,1461.0,65.0,7400
223,Seattle,2,18121,Gasoline,Continuously_Variable,First,5.0,MERCEDES-BENZ,45,2143.0,167.62,78820
224,Atlanta,7,19885,Diesel,Automatic,First,5.0,GM,53,998.0,67.04,5300
225,Seattle,5,28692,Gasoline,Automatic,Second,5.0,NISSAN,45,1461.0,108.5,17840
226,Dallas,7,29206,Gasoline,Automatic,First,5.0,GM,42,1248.0,0.0,8200
227,Orlando,3,16360,CNG,Continuously_Variable,First,4.0,MINI,40,1998.0,189.08,71340
228,Boston,5,43769,Gasoline,Automatic,First,0.0,FORD,0,1498.0,99.0,7200
229,Houston,13,124280,Gasoline,Automatic,Second,5.0,CHRYSLER,40,1396.0,53.5,1700
230,Orlando,4,37789,Diesel,Automatic,Second,5.0,CHEVROLET,44,1199.0,76.8,6640
231,Charlotte,8,27963,Gasoline,Automatic,First,5.0,VOLKSWAGEN,52,1199.0,73.9,7200
232,San_Francisco,4,39770,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,13600
233,Atlanta,8,25654,Gasoline,Automatic,First,5.0,FORD,47,1399.0,68.05,5000
234,Orlando,1,8802,Gasoline,Continuously_Variable,First,7.0,TOYOTA,27,2755.0,171.5,39280
235,Charlotte,9,41634,Gasoline,Dual_Clutch,Second,7.0,HYUNDAI,28,2199.0,194.3,14000
236,Atlanta,9,20240,CNG,Automatic,First,5.0,HONDA,41,1497.0,117.3,7740
237,Orlando,2,9296,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,81.83,12540
238,Orlando,5,34786,Gasoline,Manual,First,5.0,MERCEDES-BENZ,45,2143.0,167.62,36240
239,Charlotte,7,45984,Gasoline,Automatic,First,5.0,CHEVROLET,60,936.0,57.6,5300
240,Orlando,5,35325,Gasoline,Automatic,First,5.0,HYUNDAI,53,1396.0,88.73,14400
241,Seattle,5,75422,Gasoline,Automatic,First,7.0,TOYOTA,31,2494.0,100.6,28600
242,Chicago,7,32313,Gasoline,Automatic,First,7.0,GM,49,1248.0,88.76,13800
243,Charlotte,6,73325,Gasoline,Automatic,First,7.0,TOYOTA,30,2494.0,102.0,21500
244,Charlotte,13,44741,CNG,Automatic,Third,5.0,HYUNDAI,40,1086.0,0.0,1900
245,Orlando,4,21075,CNG,Automatic,First,5.0,HONDA,42,1497.0,117.3,16180
246,Austin,6,50956,Gasoline,Semi-Automatic,First,5.0,BMW,40,1995.0,184.0,37000
247,Charlotte,3,20506,Gasoline,Automatic,First,5.0,HYUNDAI,56,1120.0,70.0,9500
248,Chicago,4,21128,Gasoline,Automatic,First,5.0,GM,66,1248.0,88.5,16900
249,Atlanta,8,34177,Gasoline,Automatic,First,5.0,LEXUS,48,1598.0,103.6,7000
250,Orlando,14,99758,Gasoline,Automatic,First,5.0,HYUNDAI,31,1493.0,82.0,3600
251,Houston,6,37284,Gasoline,Automatic,Second,5.0,VOLKSWAGEN,47,1498.0,103.6,7400
252,Seattle,3,30806,Diesel,Automatic,First,5.0,HONDA,44,1199.0,88.7,14340
253,Houston,10,51576,Diesel,Automatic,First,5.0,HYUNDAI,47,1086.0,68.05,3500
254,Orlando,2,31906,Gasoline,Dual_Clutch,First,5.0,HYUNDAI,39,1995.0,183.0,43980
255,Los_Angeles,3,26720,Gasoline,Automatic,First,7.0,TOYOTA,32,2393.0,147.8,37300
256,Houston,9,21749,Diesel,Automatic,Third,5.0,GM,46,796.0,35.0,3700
257,Seattle,3,17320,CNG,Automatic,Second,5.0,GM,48,1197.0,81.8,11900
258,Charlotte,6,10262,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,82.0,7500
259,Los_Angeles,8,74568,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,7500
260,San_Francisco,12,89031,Gasoline,Automatic,First,5.0,HYUNDAI,52,1582.0,126.2,5200
261,San_Francisco,14,61519,Diesel,Automatic,First,5.0,HYUNDAI,0,1086.0,0.0,3500
262,Charlotte,10,32313,Diesel,Automatic,First,5.0,HYUNDAI,40,1197.0,80.0,5600
263,Seattle,3,18530,Gasoline,Continuously_Variable,First,5.0,MERCEDES-BENZ,27,2987.0,254.79,122580
264,Boston,6,35420,Gasoline,Automatic,Second,5.0,MERCEDES-BENZ,37,2148.0,170.0,36000
265,San_Francisco,6,54994,Gasoline,Automatic,First,5.0,GM,55,1248.0,73.94,8700
266,Boston,4,17399,Gasoline,Automatic,First,5.0,HYUNDAI,46,1582.0,126.2,27500
267,Los_Angeles,10,41634,Diesel,Automatic,First,5.0,GM,45,998.0,66.1,4000
268,Dallas,4,16156,Gasoline,Automatic,First,5.0,RENAULT,46,1461.0,108.45,20000
269,Dallas,10,74568,Gasoline,Automatic,First,5.0,FIAT,42,1248.0,76.0,3300
270,Seattle,3,32302,Gasoline,Dual_Clutch,First,5.0,BMW,39,2993.0,258.0,91540
271,Boston,10,22370,Diesel,Automatic,Second,5.0,HYUNDAI,48,1197.0,78.9,6500
272,Los_Angeles,4,29206,Gasoline,Automatic,First,7.0,TOYOTA,30,2494.0,102.0,25600
273,Charlotte,15,37284,Diesel,Automatic,Third,5.0,GM,41,993.0,60.0,1100
274,San_Francisco,2,19279,Gasoline,Automatic,First,5.0,GM,67,1248.0,74.0,14300
275,Los_Angeles,7,65247,Gasoline,Automatic,Second,8.0,TESLA,28,2179.0,120.0,14000
